population,indicator,human development index,civil liberties score,government effectiveness,world happiness report score,Coll,Col2
Central and Eastern Europe,Serbia,787,2,0.19,5.122.031.212,"rgba(83,237,255","(62, 178, 191)"
Central and Eastern Europe,Hungary,838,2,0.51,6.065.038.681,"rgba(83,237,255","(83, 237, 255)"
Central and Eastern Europe,Romania,811,2,-0.17,6.089.904.785,"rgba(83,237,255","(152, 244, 255)"
Central and Eastern Europe,Poland,865,2,0.63,6.201.268.196,"rgba(83,237,255","(110, 183, 191)"
Central and Eastern Europe,Slovakia,855,1,0.81,6.365.509.033,"rgba(83,237,255","(158, 188, 191)"
Central and Eastern Europe,Czech Republic,888,1,1.02,6.789.567.947,"rgba(83,237,255","(45, 233, 255)"
Commonwealth of Independent States,Ukraine,751,3,-0.46,4.311.067.104,"rgba(235,69,170","(176, 52, 128)"
Commonwealth of Independent States,Azerbaijan,757,6,-0.16,5.152.279.377,"rgba(235,69,170","(235, 69, 170)"
Commonwealth of Independent States,Turkmenistan,706,7,-1.21,5.229.148.865,"rgba(235,69,170","(239, 106, 187)"
Commonwealth of Independent States,Belarus,808,6,-0.35,5.552.915.096,"rgba(235,69,170","(176, 96, 145)"
Commonwealth of Independent States,Russia,816,6,-0.08,5.578.742.981,"rgba(235,69,170","(235, 128, 193)"
Commonwealth of Independent States,Kyrgyzstan,672,5,-0.71,5.629.536.629,"rgba(235,69,170","(239, 153, 205)"
Commonwealth of Independent States,Tajikistan,0.65,6,-1.12,5.829.234.123,"rgba(235,69,170","(176, 25, 117)"
Commonwealth of Independent States,Kazakhstan,0.8,5,0.01,5.882.351.398,"rgba(235,69,170","(235, 34, 156)"
Commonwealth of Independent States,Uzbekistan,0.71,7,-0.56,6.421.447.754,"rgba(235,69,170","(118, 17, 78)"
East Asia,China,752,6,0.42,5.099.061.489,"rgba(255,244,146","(255, 244, 146)"
East Asia,Korea (Rep.),903,2,1.08,5.873.887.062,"rgba(255,244,146","(255, 234, 44)"
East Asia,Japan,909,1,1.62,5.910.676.479,"rgba(255,244,146","(191, 183, 110)"
Latin America and Caribbean,Haiti,498,5,-2.06,3.823.865.652,"rgba(122,239,126","(61, 120, 63)"
Latin America and Caribbean,Dominican Republic,736,3,-0.35,5.605.202.675,"rgba(122,239,126","(92, 179, 95)"
Latin America and Caribbean,Bolivia,693,3,-0.39,565.055.275,"rgba(122,239,126","(122, 239, 126)"
Latin America and Caribbean,Peru,0.75,3,-0.13,5.710.936.546,"rgba(122,239,126","(175, 245, 178)"
Latin America and Caribbean,Ecuador,752,3,-0.32,5.839.518.547,"rgba(122,239,126","(91, 120, 92)"
Latin America and Caribbean,Honduras,617,4,-0.51,6.019.985.676,"rgba(122,239,126","(136, 179, 138)"
Latin America and Caribbean,Argentina,825,2,0.16,6.039.330.006,"rgba(122,239,126","(196, 242, 198)"
Latin America and Caribbean,Colombia,843,3,-0.07,6.157.341.957,"rgba(122,239,126","(13, 120, 17)"
Latin America and Caribbean,Chile,843,1,0.85,6.320.119.381,"rgba(122,239,126","(20, 179, 25)"
Latin America and Caribbean,Guatemala,0.65,4,-0.64,6.325.118.542,"rgba(122,239,126","(26, 239, 34)"
Latin America and Caribbean,Brazil,759,2,-0.29,6.332.929.134,"rgba(122,239,126","(43, 84, 44)"
Latin America and Caribbean,El Salvador,674,3,-0.37,6.339.318.275,"rgba(122,239,126","(96, 188, 99)"
Latin America and Caribbean,Mexico,774,3,-0.03,6.410.299.301,"rgba(122,239,126","(128, 201, 130)"
Latin America and Caribbean,Nicaragua,658,4,-0.64,6.476.356.506,"rgba(122,239,126","(160, 215, 161)"
Middle East and North Africa,Yemen,452,6,-1.92,3.253.560.066,"rgba(210,117,255","(93, 74, 102)"
Middle East and North Africa,Egypt,696,6,-0.62,3.929.344.177,"rgba(210,117,255","(105, 59, 128)"
Middle East and North Africa,Tunisia,735,3,-0.07,4.124.342.918,"rgba(210,117,255","(158, 88, 191)"
Middle East and North Africa,Iraq,685,6,-1.27,4.462.399.006,"rgba(210,117,255","(210, 117, 255)"
Middle East and North Africa,Iran,798,6,-0.19,4.716.783.047,"rgba(210,117,255","(219, 145, 255)"
Middle East and North Africa,Jordan,735,5,0.12,4.808.082.581,"rgba(210,117,255","(228, 172, 255)"
Middle East and North Africa,Algeria,754,5,-0.6,5.248.912.334,"rgba(210,117,255","(115, 90, 128)"
Middle East and North Africa,Morocco,667,5,-0.16,5.312.482.834,"rgba(210,117,255","(173, 136, 191)"
Middle East and North Africa,Turkey,791,6,0.07,5.607.262.135,"rgba(210,117,255","(236, 196, 255)"
Middle East and North Africa,Libya,706,6,-1.77,5.646.852.493,"rgba(210,117,255","(133, 11, 191)"
Middle East and North Africa,Saudi Arabia,853,7,0.25,6.294.282.436,"rgba(210,117,255","(177, 15, 255)"
Middle East and North Africa,United Arab Emirates,863,6,1.4,7.039.419.651,"rgba(210,117,255","(192, 63, 255)"
Middle East and North Africa,Israel,903,3,1.39,7.331.036.091,"rgba(210,117,255","(148, 59, 191)"
North America and ANZ,United States,924,1,1.55,69.917.593,"rgba(95,125,250","(95,125,250)"
North America and ANZ,Australia,939,1,1.54,725.703.764,"rgba(95,125,250","(127, 151, 251)"
South Asia,India,0.64,3,0.09,4.046.111.107,"rgba(243,200,215","(122, 100, 108)"
South Asia,Bangladesh,608,4,-0.74,4.309.771.061,"rgba(243,200,215","(182, 150, 161)"
South Asia,Sri Lanka,0.77,4,-0.15,4.330.945.492,"rgba(243,200,215","(243, 200, 215)"
South Asia,Nepal,574,4,-0.88,4.736.692.429,"rgba(243,200,215","(248, 222, 231)"
South Asia,Pakistan,562,5,-0.58,5.830.870.628,"rgba(243,200,215","(243, 164, 191)"
Southeast Asia,Myanmar,578,5,-1.05,4.154.341.698,"rgba(253,165,121","(190, 124, 91)"
Southeast Asia,Cambodia,582,5,-0.66,4.585.842.133,"rgba(253,165,121","(253, 165, 121)"
Southeast Asia,Laos,601,6,-0.36,4.623.140.812,"rgba(253,165,121","(253, 183, 148)"
Southeast Asia,Indonesia,694,4,0.04,5.098.401.546,"rgba(253,165,121","(254, 219, 201)"
Southeast Asia,Vietnam,694,5,0,5.175.278.664,"rgba(253,165,121","(190, 155, 138)"
Southeast Asia,Philippines,699,3,-0.06,5.594.270.229,"rgba(253,165,121","(253, 98, 20)"
Southeast Asia,Thailand,755,5,0.38,5.938.895.226,"rgba(253,165,121","(253, 129, 67)"
Southeast Asia,Singapore,932,4,2.21,6.378.437.996,"rgba(253,165,121","(255, 224, 208)"
Sub-Saharan Africa,South Sudan,388,7,-2.48,2.816.622.496,"rgba(181,158,153","(45, 40, 38)"
Sub-Saharan Africa,Tanzania,538,4,-0.63,3.347.121.239,"rgba(181,158,153","(91, 79, 77)"
Sub-Saharan Africa,Malawi,477,3,-0.67,3.416.862.965,"rgba(181,158,153","(136, 119, 115)"
Sub-Saharan Africa,Zimbabwe,535,5,-1.19,363.830.018,"rgba(181,158,153","(181, 158, 153)"
Sub-Saharan Africa,Zambia,588,4,-0.62,3.932.777.405,"rgba(181,158,153","(196, 177, 173)"
Sub-Saharan Africa,Uganda,516,4,-0.58,4.000.516.891,"rgba(181,158,153","(211, 197, 194)"
Sub-Saharan Africa,Madagascar,519,4,-1.14,4.078.620.434,"rgba(181,158,153","(94, 88, 87)"
Sub-Saharan Africa,Sierra Leone,419,3,-1.21,4.089.562.416,"rgba(181,158,153","(134, 130, 129)"
Sub-Saharan Africa,Ethiopia,463,6,-0.7,4.180.315.495,"rgba(181,158,153","(174, 172, 171)"
Sub-Saharan Africa,Mozambique,437,4,-0.89,4.279.863.358,"rgba(181,158,153","(97, 61, 53)"
Sub-Saharan Africa,Congo (Dem. Rep.),457,6,-1.63,4.311.033.249,"rgba(181,158,153","(145, 91, 79)"
Sub-Saharan Africa,Togo,503,4,-1.13,4.360.805.035,"rgba(181,158,153","(97, 79, 62)"
Sub-Saharan Africa,Kenya,0.59,4,-0.31,4.475.654.125,"rgba(181,158,153","(145, 118, 94)"
Sub-Saharan Africa,South Africa,699,2,0.28,4.513.655.186,"rgba(181,158,153","(193, 157, 125)"
Sub-Saharan Africa,Chad,404,6,-1.46,4.558.937.073,"rgba(181,158,153","(206, 177, 151)"
Sub-Saharan Africa,Niger,354,4,-0.67,4.615.673.542,"rgba(181,158,153","(218, 196, 177)"
Sub-Saharan Africa,Burkina Faso,423,3,-0.59,4.646.891.117,"rgba(181,158,153","(78, 66, 58)"
Sub-Saharan Africa,Senegal,505,2,-0.32,4.683.024.883,"rgba(181,158,153","(104, 88, 78)"
Sub-Saharan Africa,Mali,427,4,-0.94,4.741.850.376,"rgba(181,158,153","(165, 155, 149)"
Sub-Saharan Africa,Benin,515,2,-0.64,4.853.180.885,"rgba(181,158,153","(97, 62, 72)"
Sub-Saharan Africa,Guinea,459,5,-1.04,4.873.722.553,"rgba(181,158,153","(145, 94, 108)"
Sub-Saharan Africa,Cote d'Ivoire,794,4,-0.74,5.037.734.985,"rgba(181,158,153","(193, 125, 144)"
Sub-Saharan Africa,Cameroon,556,6,-0.82,507.405.138,"rgba(181,158,153","(78, 58, 60)"
Sub-Saharan Africa,Nigeria,532,5,-0.96,5.321.928.024,"rgba(181,158,153","(104, 78, 80)"
Sub-Saharan Africa,Ghana,592,2,-0.11,5.481.310.844,"rgba(181,158,153","(135, 113, 115)"
Western Europe,Greece,0.87,2,0.31,514.824.152,"rgba(139,162,255","(70, 81, 128)"
Western Europe,Portugal,847,1,1.33,5.711.499.214,"rgba(139,162,255","(104, 122, 191)"
Western Europe,Italy,0.88,1,0.5,6.198.870.182,"rgba(139,162,255","(139, 162, 255)"
Western Europe,Spain,891,1,1.03,6.230.173.111,"rgba(139,162,255","(185, 199, 255)"
Western Europe,France,901,2,1.35,6.635.222.435,"rgba(139,162,255","(101, 107, 128)"
Western Europe,Belgium,916,1,1.18,6.928.347.588,"rgba(139,162,255","(152, 160, 191)"
Western Europe,Germany,936,1,1.72,7.074.324.608,"rgba(139,162,255","(203, 213, 255)"
Western Europe,United Kingdom,922,1,1.41,7.103.273.392,"rgba(139,162,255","(19, 40, 128)"
Western Europe,Sweden,933,1,1.84,7.286.804.676,"rgba(139,162,255","(28, 60, 191)"
Western Europe,Austria,908,1,1.46,7.293.727.875,"rgba(139,162,255","(37, 80, 255)"
Western Europe,Netherlands,931,1,1.85,7.458.965.302,"rgba(139,162,255","(81, 115, 255)"
Western Europe,Switzerland,944,1,2.06,7.473.593.235,"rgba(139,162,255","(124, 150, 255)"
Western Europe,Norway,953,1,1.98,7.578.744.888,"rgba(139,162,255","(168, 185, 155)"
Western Europe,Denmark,929,1,1.8,7.593.702.316,"rgba(139,162,255","(76, 99, 191)"
Western Europe,Finland,0.92,1,1.94,7.788.251.877,"rgba(139,162,255","(101, 131, 255)"
,,,,,,,
,,,,,,,
,,,,,,,
, ,,,,,,
